complain,severity
Keyboard malfunctioning,Low
Files missing from server,Low
Issue with the internet connection,High
Speaker producing crackling sound,High
Keyboard malfunctioning,Low
Phone not charging,Low
Keyboard malfunctioning,Low
Camera not working,High
Speaker producing crackling sound,High
Issue with the internet connection,Medium
Printer jamming paper,High
Website not loading,Low
Application freezing,High
Application freezing,Medium
Printer jamming paper,Low
Monitor flickering,Medium
Monitor flickering,Low
Keyboard malfunctioning,Medium
Network outage in the building,Medium
Software crashing frequently,High
Software crashing frequently,Low
Keyboard malfunctioning,Medium
Data loss in the system,Medium
VPN connection failure,Low
Website not loading,Low
Battery draining quickly,Low
Files missing from server,Medium
Application freezing,High
VPN connection failure,Medium
Data loss in the system,Low
Monitor flickering,High
Camera not working,Medium
VPN connection failure,Medium
Slow performance on computer,Low
Printer not working,Medium
Speaker producing crackling sound,High
Software crashing frequently,Medium
Application freezing,Low
VPN connection failure,Medium
Issue with the internet connection,High
Application freezing,Low
Battery draining quickly,Medium
Cannot access email,Low
Website not loading,Medium
Files missing from server,High
Slow performance on computer,High
Phone not charging,High
Cannot access email,Low
Speaker producing crackling sound,Low
Phone not charging,Medium
Battery draining quickly,High
Software crashing frequently,Low
Battery draining quickly,Low
Network outage in the building,High
Slow performance on computer,Low
Printer not working,High
Issue with the internet connection,Low
Printer jamming paper,Medium
Battery draining quickly,Medium
Battery draining quickly,High
Issue with the internet connection,Low
Keyboard malfunctioning,High
Issue with the internet connection,High
Camera not working,Medium
Website not loading,High
Printer jamming paper,High
Data loss in the system,Medium
Error while accessing database,Low
VPN connection failure,Medium
VPN connection failure,High
Issue with the internet connection,Low
Keyboard malfunctioning,Low
Application freezing,Low
VPN connection failure,Medium
Printer jamming paper,High
Application freezing,Low
Speaker producing crackling sound,Low
Battery draining quickly,High
Data loss in the system,Low
Slow performance on computer,High
Application freezing,High
Printer jamming paper,High
Speaker producing crackling sound,Low
Camera not working,High
Printer jamming paper,Low
Bluetooth not connecting,High
Printer jamming paper,High
Phone not charging,High
Phone not charging,Medium
Bluetooth not connecting,Medium
Printer not working,Medium
Files missing from server,Low
Issue with the internet connection,Low
Slow performance on computer,High
Slow performance on computer,Medium
Bluetooth not connecting,Low
Issue with the internet connection,Medium
Speaker producing crackling sound,Low
Printer not working,Low
Application freezing,High
